marka,model,ostecenje,snaga,registrovan,kilometraza,kubikaza,gorivo,mjenjac,god,cena
Renault,Megane,Bez oštećenja,110,Ne,236000,1480,Dizel,Manuelni,2014,6850
Ford,Focus,Bez oštećenja,110,Ne,2425,1600,Dizel,Manuelni,2013,5800
Peugeot,3008,Bez oštećenja,120,Da,260,1600,Dizel,Automatski,2017,15800
Volkswagen,Golf Plus,Bez oštećenja,140,Ne,210000,1998,Dizel,Manuelni,2009,6900
BMW,320,Bez oštećenja,163,Da,329000,1996,Dizel,Manuelni,2007,3900
Mercedes Benz,C 180,Bez oštećenja,114,Da,320000,1600,Dizel,Manuelni,2015,16000
Mercedes Benz,B 180,Bez oštećenja,136,Da,110000,1332,Benzin,Automatski,2019,24750
Škoda,Octavia,Bez oštećenja,110,Da,250000,1600,Dizel,Manuelni,2015,9200
Nissan,Pathfinder,Bez oštećenja,171,Da,260000,2499,Dizel,Automatski,2007,16000
Mercedes Benz,A 160,Bez oštećenja,81,Da,232300,1991,Dizel,Automatski,2010,5400
Ford,Fiesta,Bez oštećenja,150,Da,1850000,1998,Benzin,Manuelni,2006,5000
Porsche,Cayenne,Bez oštećenja,340,Da,104000,3000,Benzin,Automatski,2020,99000
Volkswagen,Golf 6,Bez oštećenja,105,Ne,218427,16,Dizel,Manuelni,2012,6900
Ford,Mondeo,Bez oštećenja,163,Da,228929,2000,Dizel,Automatski,2011,7000
Volkswagen,Golf Plus,Bez oštećenja,104,Ne,260000,1600,Dizel,Automatski,2013,8000
Mercedes Benz,CLA 220,Bez oštećenja,170,Da,238000,2198,Dizel,Tiptronik,2014,18000
Audi,Q7,Bez oštećenja,245,Da,250000,3000,Dizel,Automatski,2013,26000
Smart,forTwo,Bez oštećenja,64,Da,133000,999,Benzin,Automatski,2007,5500
Volkswagen,Passat,Bez oštećenja,138,Da,268000,1998,Dizel,Automatski,2008,5300
Renault,Megane,Bez oštećenja,95,Da,135000,1461,Dizel,Manuelni,2019,10350
Volkswagen,Golf 6,Bez oštećenja,105,Da,285000,1600,Dizel,Manuelni,2011,6500
Renault,Clio,Bez oštećenja,74,Da,237000,1500,Dizel,Manuelni,2011,3400
Renault,Scenic,Bez oštećenja,150,Da,120000,2000,Dizel,Manuelni,2006,2450
Škoda,Octavia,Bez oštećenja,176,Ne,330000,2000,Dizel,Manuelni,2011,7500
Peugeot,208,Bez oštećenja,74,Da,181000,1560,Dizel,Manuelni,2016,7700
Land Rover,Range Rover Evoque,Bez oštećenja,190,Da,127800,2200,Dizel,Automatski,2014,23500
Volvo,XC 90,Bez oštećenja,235,Da,300000,1998,Dizel,Automatski,2017,32500
Volkswagen,Golf 5,Bez oštećenja,140,Da,270000,2000,Dizel,Manuelni,2004,4300
Volkswagen,Touran,Bez oštećenja,104,Da,262351,1900,Dizel,Manuelni,2007,5500
Peugeot,407,Bez oštećenja,136,Da,311013,1997,Dizel,Manuelni,2006,2700
Fiat,Panda,Bez oštećenja,54,Da,180000,1100,Benzin,Manuelni,2004,2000
Mercedes Benz,S 350,Bez oštećenja,259,Da,220000,2998,Dizel,Automatski,2014,43000
Škoda,Fabia,Bez oštećenja,75,Ne,247500,1200,Dizel,Manuelni,2011,4200
Renault,Megane,Bez oštećenja,100,Da,134000,1400,Benzin,Manuelni,2007,1500
Volkswagen,Golf 6,Bez oštećenja,104,Da,245000,1599,Dizel,Manuelni,2010,6400
Audi,A3,Bez oštećenja,140,Da,290000,2000,Dizel,Manuelni,2006,5500
Volkswagen,Golf 6,Bez oštećenja,105,Ne,279000,19,Dizel,Manuelni,2012,7500
Seat,Ibiza,Bez oštećenja,60,Da,210193,1390,Benzin+Plin,Manuelni,2000,50000
Ford,Fiesta,Bez oštećenja,95,Ne,253000,1560,Dizel,Manuelni,2016,5650
Tesla,Model 3,Bez oštećenja,238,Da,178550,,Električno,,2019,25000
Opel,Insignia,Bez oštećenja,136,Da,221580,1580,Dizel,Manuelni,2015,9100
Volkswagen,Golf 7,Bez oštećenja,105,Ne,255124,1596,Dizel,Manuelni,2014,8200
BMW,318,Bez oštećenja,150,Da,56000,2000,Dizel,Automatski,2019,25500
Audi,80,Bez oštećenja,89,Da,12345678,1900,Dizel,Manuelni,1994,1999
Volkswagen,Golf 5,Bez oštećenja,200,Da,211800,2000,Benzin,Automatski,2005,8200
Mercedes Benz,E 350,Bez oštećenja,231,Da,300000,3000,Dizel,Automatski,2010,12800
Volkswagen,Golf 5,Bez oštećenja,200,Da,211800,2000,Benzin,Automatski,2005,8200
Mercedes Benz,E 350,Bez oštećenja,231,Da,300000,3000,Dizel,Automatski,2010,12800
Seat,Mii,Bez oštećenja,75,Ne,123,1000,Benzin,Manuelni,2015,4200
Opel,Corsa,Bez oštećenja,95,Da,290134,1300,Dizel,Manuelni,2012,4590
Lancia,Delta,Bez oštećenja,119,Da,220000,1600,Dizel,Manuelni,2010,4900
Volkswagen,Jetta,Bez oštećenja,104,Da,242000,1600,Dizel,Manuelni,2011,7300
Renault,Clio,Bez oštećenja,75,Ne,232000,1500,Dizel,Manuelni,2011,4200
Volkswagen,Passat,Bez oštećenja,150,Da,194000,2000,Dizel,Automatski,2016,21000
Peugeot,2008,Bez oštećenja,131,Ne,28000,1200,Benzin,Manuelni,2020,16400
Škoda,Octavia,Bez oštećenja,104,Da,173000,1600,Dizel,Automatski,2011,7500
BMW,320,Bez oštećenja,176,Da,321000,2000,Dizel,Manuelni,2008,12000
Volkswagen,Golf 7,Bez oštećenja,110,Da,250000,1600,Dizel,Automatski,2013,11000
Mercedes Benz,A 200,Bez oštećenja,136,Ne,264000,1991,Dizel,Manuelni,2011,4750
Volkswagen,Polo,Bez oštećenja,90,Ne,285000,1600,Dizel,Manuelni,2013,4999
Citroen,C4,Bez oštećenja,92,Da,280000,1600,Dizel,Manuelni,2011,6900
Peugeot,3008,Bez oštećenja,119,Da,180000,1590,Dizel,Automatski,2016,8600
Peugeot,208,Bez oštećenja,110,Ne,180000,1499,Dizel,Manuelni,2021,9300
Škoda,Octavia,Bez oštećenja,184,Da,251000,2000,Dizel,Automatski,2015,12000
Toyota,Yaris,Bez oštećenja,69,Da,85000,1000,Benzin,Manuelni,2012,5800
Škoda,Superb,Bez oštećenja,149,Da,231000,2000,Dizel,Manuelni,2017,16900
Audi,A6,Bez oštećenja,204,Da,208000,2000,Hibrid dizel,Tiptronik,2019,34000
Volkswagen,Golf 6,Bez oštećenja,105,Ne,200271,1600,Dizel,Automatski,2010,7100
Volkswagen,Golf 6,Bez oštećenja,170,Da,247374,2000,Dizel,Automatski,2010,10000
Škoda,Octavia,Bez oštećenja,183,Ne,225420,2000,Dizel,Automatski,2016,12500
BMW,218,Bez oštećenja,149,Da,140000,2000,Dizel,Manuelni,2016,14500
Toyota,Land Cruiser,Bez oštećenja,173,Da,381000,3000,Dizel,Automatski,2007,15900
Volkswagen,Passat Alltrack,Bez oštećenja,140,Ne,286000,2000,Dizel,Manuelni,2012,11500
Seat,Alhambra,Bez oštećenja,115,Da,301000,1900,Dizel,Manuelni,2002,3700
Volkswagen,Passat,Bez oštećenja,140,Ne,245000,2000,Dizel,Manuelni,2011,9900
Audi,Q7,Bez oštećenja,231,Da,119700,3000,Dizel,Automatski,2020,57500
Volkswagen,Touran,Bez oštećenja,140,Ne,284000,2000,Dizel,Manuelni,2011,8800
Peugeot,3008,Bez oštećenja,99,Da,161000,1600,Dizel,Manuelni,2017,14400
Peugeot,308,Bez oštećenja,102,Da,198000,1500,Dizel,Manuelni,2019,8900
Peugeot,3008,Bez oštećenja,99,Da,220000,1600,Dizel,Automatski,2016,14450
Renault,Talisman,Bez oštećenja,134,Da,158000,1600,Dizel,Automatski,2017,12900
Opel,Adam,Bez oštećenja,69,Da,196200,1200,Benzin,Manuelni,2013,5900
Volkswagen,Passat,Bez oštećenja,140,Ne,245000,2000,Dizel,Manuelni,2011,9900
Audi,Q7,Bez oštećenja,231,Da,119700,3000,Dizel,Automatski,2020,57500
Volkswagen,Touran,Bez oštećenja,140,Ne,284000,2000,Dizel,Manuelni,2011,8800
Peugeot,3008,Bez oštećenja,99,Da,161000,1600,Dizel,Manuelni,2017,14400
Peugeot,308,Bez oštećenja,102,Da,198000,1500,Dizel,Manuelni,2019,8900
Peugeot,3008,Bez oštećenja,99,Da,220000,1600,Dizel,Automatski,2016,14450
Renault,Talisman,Bez oštećenja,134,Da,158000,1600,Dizel,Automatski,2017,12900
Opel,Adam,Bez oštećenja,69,Da,196200,1200,Benzin,Manuelni,2013,5900
Opel,Insignia,Bez oštećenja,136,Da,203000,1600,Dizel,Automatski,2018,13900
Kia,Sorento,Bez oštećenja,170,Da,240694,2497,Dizel,Automatski,2009,5000
BMW,320,Bez oštećenja,163,Da,230870,2000,Dizel,Manuelni,2006,4900
Volkswagen,Golf Plus Cross,Bez oštećenja,104,Da,267000,1900,Dizel,Manuelni,2007,4500
BMW,118,Bez oštećenja,122,Da,301000,2000,Dizel,Manuelni,2005,4500
Volkswagen,Polo,Bez oštećenja,80,Da,280000,1400,Dizel,Manuelni,2008,3200
Ford,Fiesta,Bez oštećenja,74,Da,230000,1753,Dizel,Manuelni,2000,75000
Mini,Countryman,Bez oštećenja,112,Ne,215000,1995,Dizel,Automatski,2013,11500
Porsche,Cayenne,Bez oštećenja,382,Da,233200,4200,Dizel,Automatski,2013,30800
Audi,A4,Bez oštećenja,142,Da,227000,2000,Dizel,Manuelni,2009,8500
Citroen,C3,Bez oštećenja,85,Da,59000,1200,Benzin,Manuelni,2017,8950
Peugeot,208,Bez oštećenja,68,Ne,195000,1400,Dizel,Manuelni,2013,5850
Citroen,C4 Cactus,Bez oštećenja,110,Ne,120000,12000,Benzin,Manuelni,2018,8950
BMW,320,Bez oštećenja,150,Da,173000,2000,Dizel,Automatski,2020,27500
Volkswagen,Passat,Bez oštećenja,105,Da,190000,1598,Dizel,Manuelni,2014,12500
Citroen,C3 Aircross,Bez oštećenja,102,Da,162000,1499,Dizel,Manuelni,2018,11600
Mercedes Benz,CLK 200,Bez oštećenja,191,Da,237000,2000,Benzin+Plin,Manuelni,2000,2500
Renault,Scenic,Bez oštećenja,111,Da,250000,1600,Benzin,Manuelni,2006,1750
Land Rover,Range Rover Evoque,Bez oštećenja,180,Da,182000,2000,Dizel,Automatski,2017,23000
Opel,Insignia,Bez oštećenja,160,Da,32000,200,Dizel,Manuelni,2008,6000
Audi,A7,Bez oštećenja,244,Da,295000,3000,Dizel,Automatski,2011,20000
Toyota,Corolla,Bez oštećenja,116,Da,327000,2000,Dizel,Manuelni,2004,2400
Smart,forTwo,Bez oštećenja,71,Ne,175000,1000,Benzin,Automatski,2013,6500
Renault,Clio,Bez oštećenja,68,Da,340000,1500,Dizel,Manuelni,2006,2900
Alfa Romeo,Giulietta,Bez oštećenja,140,Ne,208300,2000,Dizel,Manuelni,2012,6300
Volkswagen,Polo,Bez oštećenja,74,Ne,245260,1200,Dizel,Manuelni,2010,5000
Audi,Q7,Bez oštećenja,232,Da,274000,3000,Dizel,Automatski,2007,11000
Nissan,X-Trail,Bez oštećenja,177,Ne,127500,1950,Dizel,Automatski,2016,18500
Toyota,Corolla,Bez oštećenja,116,Da,327000,2000,Dizel,Manuelni,2004,2400
Smart,forTwo,Bez oštećenja,71,Ne,175000,1000,Benzin,Automatski,2013,6500
Renault,Clio,Bez oštećenja,68,Da,340000,1500,Dizel,Manuelni,2006,2900
Alfa Romeo,Giulietta,Bez oštećenja,140,Ne,208300,2000,Dizel,Manuelni,2012,6300
Volkswagen,Polo,Bez oštećenja,74,Ne,245260,1200,Dizel,Manuelni,2010,5000
Audi,Q7,Bez oštećenja,232,Da,274000,3000,Dizel,Automatski,2007,11000
Nissan,X-Trail,Bez oštećenja,177,Ne,127500,1950,Dizel,Automatski,2016,18500
Audi,A3,Bez oštećenja,105,Da,260000,1896,Dizel,Automatski,2008,8000
Ford,Focus,Bez oštećenja,90,Da,261000,1560,Dizel,Manuelni,2008,4000
Mazda,CX-5,Bez oštećenja,176,Da,212453,2200,Dizel,Manuelni,2012,10250
Peugeot,308,Bez oštećenja,92,Da,266500,1560,Dizel,Manuelni,2011,5500
Ford,Mondeo,Bez oštećenja,180,Ne,211799,1997,Dizel,Automatski,2018,14950
Toyota,Corolla,Bez oštećenja,186,Da,62000,1987,Hibrid benzin,Automatski,2020,23500
Peugeot,3008,Bez oštećenja,131,Ne,152030,1499,Dizel,Automatski,2019,15350
Audi,A6,Bez oštećenja,163,Da,215000,2000,Dizel,Automatski,2012,14500
Peugeot,508,Bez oštećenja,120,Da,229819,1560,Dizel,Automatski,2018,10350
Peugeot,308,Bez oštećenja,131,Ne,128998,1499,Dizel,Automatski,2022,18750
Jeep,Liberty,Bez oštećenja,147,Da,241511,2400,Benzin+Plin,Manuelni,2002,5999
Citroen,C4,Bez oštećenja,99,Da,189000,1600,Dizel,Manuelni,2017,8790
Volkswagen,Golf 5,Bez oštećenja,104,Da,290000,1900,Dizel,Manuelni,2004,2100
Audi,A6,Bez oštećenja,176,Ne,246000,2000,Dizel,Automatski,2013,13450
Peugeot,207,Bez oštećenja,88,Da,25200,1400,Benzin,Manuelni,2007,2150
Toyota,RAV 4,Bez oštećenja,136,Da,235000,2180,Dizel,Manuelni,2007,6500
Mazda,CX-5,Bez oštećenja,149,Da,260325,2191,Dizel,Manuelni,2014,13650
Renault,Laguna,Bez oštećenja,125,Da,282000,1900,Dizel,Manuelni,2007,1850
Volkswagen,Golf Plus,Bez oštećenja,110,Ne,230000,2000,Dizel,Manuelni,2009,6350
Jeep,Grand Cherokee,Bez oštećenja,299,Da,201000,3000,Dizel,Automatski,2014,23500
Volkswagen,Passat,Bez oštećenja,140,Da,386000,2000,Dizel,Automatski,2008,4200
Volkswagen,Caddy,Bez oštećenja,69,Ne,329784,2000,Dizel,Manuelni,2006,5400
Škoda,Fabia,Bez oštećenja,104,Da,180000,1600,Benzin,Automatski,2008,4200
Opel,Antara,Bez oštećenja,149,Da,240000,2000,Dizel,Manuelni,2010,5900
Audi,A4,Bez oštećenja,142,Da,2370000,2000,Dizel,Automatski,2012,11900
Audi,A6,Bez oštećenja,150,Da,220000,2000,Dizel,Automatski,2017,27300
Peugeot,308,Bez oštećenja,102,Da,170000,1498,Dizel,Manuelni,2019,8800
Peugeot,5008,Bez oštećenja,108,Da,330000,1600,Dizel,Manuelni,2010,5500
Škoda,Octavia,Bez oštećenja,150,Ne,259000,2000,Dizel,Manuelni,2013,9800
Škoda,Fabia,Bez oštećenja,104,Da,180000,1600,Benzin,Automatski,2008,4200
Opel,Antara,Bez oštećenja,149,Da,240000,2000,Dizel,Manuelni,2010,5900
Audi,A4,Bez oštećenja,142,Da,2370000,2000,Dizel,Automatski,2012,11900
Audi,A6,Bez oštećenja,150,Da,220000,2000,Dizel,Automatski,2017,27300
Peugeot,308,Bez oštećenja,102,Da,170000,1498,Dizel,Manuelni,2019,8800
Peugeot,5008,Bez oštećenja,108,Da,330000,1600,Dizel,Manuelni,2010,5500
Škoda,Octavia,Bez oštećenja,150,Ne,259000,2000,Dizel,Manuelni,2013,9800
Mercedes Benz,B 180,Bez oštećenja,109,Da,230000,1800,Dizel,Manuelni,2013,8500
Audi,80,Bez oštećenja,116,Da,40000,2000,Benzin+Plin,Manuelni,1994,85000
Volkswagen,Passat,Bez oštećenja,140,Da,334000,1980,Dizel,Manuelni,2008,4299
Audi,A4,Bez oštećenja,239,Da,306100,2960,Dizel,Automatski,2009,7800
Audi,Q5,Bez oštećenja,239,Da,257700,2980,Dizel,Automatski,2009,11500
Mazda,3,Bez oštećenja,150,Da,193000,2200,Dizel,Automatski,2014,12990
Citroen,C4,Bez oštećenja,130,Da,131000,1500,Dizel,Automatski,2021,16750
Citroen,C4,Bez oštećenja,99,Ne,207000,1599,Dizel,Manuelni,2018,8200
Opel,Meriva,Bez oštećenja,101,Da,77423,1398,Benzin,Manuelni,2017,7000
Volkswagen,Golf 6,Bez oštećenja,105,Ne,220000,1600,Dizel,Manuelni,2010,5700
Mercedes Benz,ML 320,Bez oštećenja,224,Da,326000,2998,Dizel,Automatski,2008,11800
Porsche,Cayenne,Bez oštećenja,340,Da,278000,4500,Benzin,Automatski,2003,9500
Audi,A4,Bez oštećenja,140,Da,266666,2000,Dizel,Automatski,2005,4200
Audi,A3,Bez oštećenja,170,Da,271944,2000,Dizel,Automatski,2006,6200
Volkswagen,Passat,Bez oštećenja,140,Da,235000,2000,Dizel,Manuelni,2007,4800
Volkswagen,Golf 7,Bez oštećenja,104,Ne,270000,1600,Dizel,Manuelni,2014,9000
Audi,Q3,Bez oštećenja,150,Da,160000,2000,Dizel,Automatski,2019,37500
Peugeot,207,Bez oštećenja,90,Da,246000,1600,Dizel,Manuelni,2008,3500
Citroen,C4 Picasso,Bez oštećenja,78,Da,230000,1574,Dizel,Automatski,2010,4900
Volkswagen,Passat,Bez oštećenja,140,Da,236000,2000,Dizel,Manuelni,2011,8400
Škoda,Octavia,Bez oštećenja,140,Ne,203000,2000,Dizel,Manuelni,2010,6200
Mercedes Benz,V class,Bez oštećenja,190,Da,150000,2000,Dizel,Tiptronik,2016,57000
Mercedes Benz,C 200,Bez oštećenja,136,Da,240000,2200,Dizel,Automatski,2017,20000
Ford,Focus,Bez oštećenja,74,Da,198000,14,Benzin,Manuelni,2004,1300
Volkswagen,Touran,Bez oštećenja,140,Ne,263000,2000,Dizel,Manuelni,2013,8800
Mercedes Benz,220,Bez oštećenja,136,Da,268000,2000,Dizel,Automatski,2011,13300
BMW,520,Bez oštećenja,184,Da,252000,1998,Dizel,Automatski,2012,13000
Audi,A6,Bez oštećenja,204,Da,165000,2000,Hibrid dizel,Automatski,2020,40000
Mercedes Benz,C 270,Bez oštećenja,170,Da,280000,2700,Dizel,Automatski,2001,2750
Mercedes Benz,C 270,Bez oštećenja,170,Da,280000,2700,Dizel,Automatski,2001,2750
Peugeot,208,Bez oštećenja,74,Da,56707,1200,Benzin,Manuelni,2021,16000
Peugeot,208,Bez oštećenja,104,Da,165000,1600,Dizel,Manuelni,2016,5900
Volvo,XC 90,Bez oštećenja,224,Da,251000,2000,Dizel,Automatski,2015,32000
Mitsubishi,ASX,Bez oštećenja,150,Da,295000,1798,Dizel,Manuelni,2011,7500
BMW,520,Bez oštećenja,190,Da,111000,2000,Dizel,Automatski,2022,45500
BMW,320,Bez oštećenja,150,Da,172400,2000,Hibrid dizel,Automatski,2021,29999
Mercedes Benz,A 180,Bez oštećenja,109,Da,209686,2000,Dizel,Manuelni,2007,2999
Audi,TT,Bez oštećenja,170,Da,185000,2000,Dizel,Manuelni,2010,12700
Toyota,Auris,Bez oštećenja,90,Da,234555,1364,Dizel,Manuelni,2015,9090
Citroen,C4 Cactus,Bez oštećenja,102,Da,182675,60,Dizel,Automatski,2018,10000
Volvo,S40,Bez oštećenja,101,Da,250000,1600,Dizel,Manuelni,2006,3000
Volkswagen,Passat,Bez oštećenja,74,Da,300000,1900,Dizel,Manuelni,1993,45000
Renault,Grand Scenic,Bez oštećenja,122,Da,278000,19,Dizel,Automatski,2018,11500
Volkswagen,Polo,Bez oštećenja,75,Ne,205090,1389,Dizel,Manuelni,2014,7400
Mazda,CX-5,Bez oštećenja,150,Ne,213125,2125,Dizel,Manuelni,2014,11500
Volkswagen,Golf Plus,Bez oštećenja,105,Ne,150575,1598,Dizel,Automatski,2010,8250
Volkswagen,Polo,Bez oštećenja,75,Da,237000,1200,Dizel,Manuelni,2012,5350
Volvo,XC 40,Bez oštećenja,150,Da,161800,1969,Dizel,Automatski,2019,22500
Peugeot,208,Bez oštećenja,102,Ne,180000,1499,Dizel,Manuelni,2021,9500
Ford,Fusion,Bez oštećenja,68,Da,169000,1400,Dizel,Manuelni,2007,2850
Audi,A6,Bez oštećenja,177,Da,197530,1987,Dizel,Automatski,2012,17000
Volkswagen,Golf 7.5,Bez oštećenja,86,Da,176000,999,Benzin,Manuelni,2018,12800
Audi,A6,Bez oštećenja,179,Da,197000,2700,Dizel,Automatski,2007,8200
Audi,Q5,Bez oštećenja,163,Da,211000,1968,Dizel,Automatski,2018,31000
Volkswagen,Golf 6,Bez oštećenja,104,Da,218000,1600,Dizel,Manuelni,2011,6500
Audi,A4,Bez oštećenja,119,Da,225738,1968,Dizel,Manuelni,2009,8250
Mercedes Benz,GLA 220,Bez oštećenja,190,Da,160800,1999,Dizel,Automatski,2020,53999
BMW,X5 M,Bez oštećenja,259,Da,230000,3000,Dizel,Automatski,2014,33000
Mercedes Benz,E 250,Bez oštećenja,204,Da,330000,2143,Dizel,Automatski,2011,10600
Volkswagen,Passat,Bez oštećenja,140,Da,290000,2000,Dizel,Manuelni,2006,3799
Kia,Rio,Bez oštećenja,97,Da,179000,1400,Benzin,Manuelni,2008,2299
Citroen,C3,Bez oštećenja,68,Da,1234567889,1400,Dizel,Manuelni,2005,2300
Volkswagen,Touran,Bez oštećenja,105,Da,300000,1900,Dizel,Automatski,2006,3999
Ford,Fiesta,Bez oštećenja,68,Da,269250,1400,Dizel,Manuelni,2006,1900
BMW,330,Bez oštećenja,204,Da,326852,2993,Dizel,Tiptronik,2010,7500
Ford,Fiesta,Bez oštećenja,68,Da,269250,1400,Dizel,Manuelni,2006,1900
BMW,330,Bez oštećenja,204,Da,326852,2993,Dizel,Tiptronik,2010,7500
Volkswagen,Golf 7,Bez oštećenja,110,Da,250000,1598,Dizel,Manuelni,2015,11000
Audi,A4,Bez oštećenja,142,Da,236000,2000,Dizel,Manuelni,2011,10850
Audi,A3,Bez oštećenja,149,Da,225000,2000,Dizel,Manuelni,2016,16199
Volkswagen,Passat,Bez oštećenja,140,Ne,30000,2000,Dizel,Manuelni,2012,7850
Renault,Grand Scenic,Bez oštećenja,110,Da,200000,1500,Dizel,Automatski,2015,7499
Volkswagen,Polo,Bez oštećenja,69,Da,300000,1400,Dizel,Manuelni,2006,2999
Ford,Mondeo,Bez oštećenja,149,Da,238790,1997,Dizel,Automatski,2016,11400
Volkswagen,Golf 7,Bez oštećenja,110,Da,229640,1598,Dizel,Automatski,2016,13500
Audi,A6,Bez oštećenja,244,Da,259000,3000,Dizel,Automatski,2012,16300
BMW,318,Bez oštećenja,142,Ne,230000,2000,Dizel,Manuelni,2014,11999
Mercedes Benz,E 220,Bez oštećenja,170,Ne,260300,2200,Dizel,Automatski,2011,11900
Volkswagen,Golf 6,Bez oštećenja,204,Da,235000,2000,Dizel,Automatski,2010,10550
BMW,530,Bez oštećenja,259,Da,330000,3000,Dizel,Automatski,2012,12300
Audi,A6,Bez oštećenja,180,Da,331000,2698,Dizel,Automatski,2007,8600
Mercedes Benz,CLA 180,Bez oštećenja,115,Da,181714,1461,Dizel,Automatski,2020,26200
Volkswagen,Golf 7,Bez oštećenja,110,Ne,247510,1600,Dizel,Manuelni,2013,8700
Seat,Leon,Bez oštećenja,110,Da,251090,1600,Dizel,Manuelni,2013,8000
Audi,A4,Bez oštećenja,116,Da,340000,1900,Dizel,Manuelni,2005,4800
Volkswagen,Golf 7,Bez oštećenja,110,Da,220000,1600,Dizel,Manuelni,2016,9700
Audi,A4,Bez oštećenja,170,Da,252000,2000,Dizel,Manuelni,2011,9500
Audi,A3,Bez oštećenja,140,Da,246000,1986,Dizel,Manuelni,2009,7800
BMW,X6 M,Bez oštećenja,340,Da,65000,3000,Dizel,Automatski,2021,85000
Nissan,Qashqai,Bez oštećenja,131,Ne,265000,1600,Dizel,Manuelni,2011,9000
Porsche,Macan,Bez oštećenja,258,Da,209556,3000,Dizel,Automatski,2016,42000
Volkswagen,Tiguan,Bez oštećenja,140,Da,315000,1968,Dizel,Automatski,2009,8700
Renault,Scenic,Bez oštećenja,134,Da,166000,2000,Benzin,Automatski,2004,1750
Volkswagen,Passat,Bez oštećenja,119,Da,261000,1600,Dizel,Manuelni,2016,14500
Jeep,Grand Cherokee,Bez oštećenja,218,Da,230000,2996,Dizel,Automatski,2005,11850
Mercedes Benz,S 350,Bez oštećenja,259,Da,152233,2987,Dizel,Automatski,2015,44500
BMW,525,Bez oštećenja,218,Ne,207000,1995,Dizel,Automatski,2011,11500
BMW,320,Bez oštećenja,163,Da,219000,2000,Dizel,Automatski,2006,5100
Opel,Astra,Bez oštećenja,75,Ne,390000,1600,Benzin,Manuelni,1998,80000
Volkswagen,Polo,Bez oštećenja,74,Da,211000,12,Dizel,Manuelni,2010,5150
Audi,A3,Bez oštećenja,140,Da,224890,2000,Dizel,Manuelni,2010,9800
Volkswagen,Polo,Bez oštećenja,74,Da,211000,12,Dizel,Manuelni,2010,5150
Audi,A3,Bez oštećenja,140,Da,224890,2000,Dizel,Manuelni,2010,9800
Porsche,Cayenne,Bez oštećenja,239,Da,276000,3000,Dizel,Automatski,2011,20500
Renault,Megane,Bez oštećenja,101,Da,222000,1500,Dizel,Manuelni,2004,3800
Land Rover,Range Rover,Bez oštećenja,1,Da,225000,3000,Dizel,Automatski,2015,33500
Renault,Captur,Bez oštećenja,89,Da,253158,1500,Dizel,Manuelni,2013,8900
Volkswagen,Passat CC,Bez oštećenja,170,Da,285000,2000,Dizel,Automatski,2012,12500
Seat,Altea,Bez oštećenja,140,Da,290000,2000,Dizel,Automatski,2005,4000
Mercedes Benz,E 220,Bez oštećenja,1496,Da,322000,2200,Dizel,Automatski,2002,2800
Volkswagen,Touran,Bez oštećenja,140,Da,261000,2000,Dizel,Manuelni,2012,7900
Peugeot,208,Bez oštećenja,93,Ne,197000,1600,Dizel,Manuelni,2014,6400
Audi,A4,Bez oštećenja,150,Ne,216000,1968,Dizel,Automatski,2015,18950
Audi,Q5,Bez oštećenja,163,Ne,193000,1998,Dizel,Automatski,2009,12950
Lancia,Delta,Bez oštećenja,116,Ne,200000,1598,Dizel,Manuelni,2010,4300
Citroen,C3,Bez oštećenja,102,Ne,196000,1499,Dizel,Manuelni,2020,11300
Seat,Ateca,Bez oštećenja,116,Ne,249000,1598,Dizel,Manuelni,2016,14950
Volvo,XC 60,Bez oštećenja,205,Da,275000,2400,Dizel,Automatski,2011,13750
Mercedes Benz,E 220,Bez oštećenja,170,Da,247530,2200,Dizel,Automatski,2012,11700
Volkswagen,Golf 7,Bez oštećenja,104,Da,33,1598,Dizel,Automatski,2013,9350
Renault,Clio,Bez oštećenja,75,Ne,180000,1500,Dizel,Manuelni,2018,7950
Citroen,C3,Bez oštećenja,101,Ne,180000,1500,Dizel,Manuelni,2021,9150
Volkswagen,Polo,Bez oštećenja,60,Da,146122,1198,Benzin+Plin,Manuelni,2010,6500
Ford,Fiesta,Bez oštećenja,68,Da,269200,1400,Dizel,Manuelni,2006,1900
Volkswagen,Passat,Bez oštećenja,150,Ne,243000,2000,Dizel,Automatski,2015,12300
Nissan,Pathfinder,Bez oštećenja,190,Da,340000,2500,Dizel,Automatski,2011,16400
Audi,A5,Bez oštećenja,167,Da,51000,2000,Hibrid dizel,Automatski,2020,36900
BMW,525,Bez oštećenja,204,Da,333000,2500,Dizel,Automatski,2010,15000
Audi,A3,Bez oštećenja,150,Da,219000,2000,Dizel,Tiptronik,2014,17500
Volkswagen,Polo,Bez oštećenja,74,Da,195000,1200,Dizel,Manuelni,2011,5300
Volkswagen,Golf 6,Bez oštećenja,105,Ne,205000,16,Dizel,Manuelni,2011,6299
Opel,Corsa,Bez oštećenja,54,Da,111256,1000,Benzin,Manuelni,1998,75000
Alfa Romeo,159,Bez oštećenja,200,Da,230000,2387,Dizel,Manuelni,2006,5200
Renault,Clio,Bez oštećenja,75,Ne,168000,1500,Dizel,Manuelni,2017,7650
Volvo,S90,Bez oštećenja,149,Da,162000,1969,Dizel,Automatski,2018,24000
BMW,520,Bez oštećenja,190,Da,173000,2561,Dizel,Automatski,2017,31000
Volkswagen,Tiguan,Bez oštećenja,149,Da,170000,2000,Dizel,Automatski,2022,27000
